,House,Type_transaction,Huurprijs,Transactieprijs,Transactieprijs per m²,Aanvaarding,days_on_market,NVM makelaar,Adres,Plaats,Telefoon,E-mail,Oppervlakten_en_inhoud_Woonoppervlakte,Oppervlakten_en_inhoud_Externe bergruimte,Oppervlakten_en_inhoud_Inhoud,Indeling_Aantal kamers,Indeling_Aantal badkamers,Indeling_Badkamervoorz.,Indeling_Aantal woonlagen,Indeling_Voorzieningen,Energie_Verwarming,Energie_Warm water,Energie_C.V. ketel,Onderhoud_Binnen,Onderhoud_Buiten,Bouw_Type,Bouw_Soort,Bouw_Bouwvorm,Bouw_Bouwjaar,Buitenruimte_Ligging,Buitenruimte_Tuin,Bergruimte_Schuur/berging,Garage_Soort garage,Text_house,Servicekosten,VBO makelaar,Bouw_Bouwperiode,Parkeergelegenheid_Soort parkeergelegenheid,VGM makelaar,TAO makelaar,Energie_Energielabel,Energie_Isolatie,Buitenruimte_Totale oppervlakte,Bergruimte_Voorzieningen,prijsverloop_date,LMV makelaar,Oppervlakten_en_inhoud_Gebouwgebonden buitenruimte,Buitenruimte_Achtertuin,Buitenruimte_Achterom,Buitenruimte_Kwaliteit,VvE_checklist_VvE,VvE_checklist_VvE bijdrage,Buitenruimte_Balkon/dakterras,Buitenruimte_Plaats,Oppervlakten_en_inhoud_Overige inpandige ruimte,Garage_Capaciteit,Garage_Voorzieningen,Buitenruimte_Geen tuin,Bergruimte_Isolatie,Parkeergelegenheid_Parkeercapaciteit,Buitenruimte_Voortuin,Garage_Isolatie,Buitenruimte_Zijtuin,Buitenruimte_Patio/atrium
827,"Neerhem 55 b, 6301 CE Valkenburg",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 8,41",Per datum 01-05-2021,9,-,Nieuweweg 24 B,6301 ET  Valkenburg,(+31) 800 0089,info@samenuwmakelaar.nl,116 m²,-,360 m³,6 kamers (3 slaapkamers),-,-,1 woonlaag,-,-,-,-,goed,goed,Appartement,Bovenwoning,bestaande bouw,1910,-,Geen tuin,-,Geen garage,"| TE HUUR | VOLLEDIG INSTAPKLAAR GESTOFFEERD APPARTEMENT | BOVENWONING |
In een karakteristiek herenhuis is deze sfeervolle bovenwoning op de 2e en 3e verdieping gelegen, midden in het centrum van de geliefde Geulstad Valkenburg aan de Geul! 
Bijzonderheden huurovereenkomst 
| Het gestoffeerde appartement is per 01 mei 2021 beschikbaar
| Huur € 975,- euro per maand exclusief G/W/L
| Servicekosten € 25,- euro per maand
| Minimale huurtermijn van 1 jaar (12 maanden) 
| Borgsom is eenmalig € 975,- euro 
| Deze luxe bovenwoning is gelegen op de 2e en 3e verdieping | Circa 120m2
| Luxe afwerkniveau in het gehele appartement | Modern afgewerkt
| Inkom aan de achterzijde van het pand 
| Trappenhuis met houten rustieke gerenoveerde trappen
| Woonkamer | Living met karakteristieke uitstraling | Ornament | LED spots 
| In het hele appartement ligt een laminaatvloer 
| Moderne semi open Siematic keuken met granieten werkblad | Inductie kookplaat nieuw | Vaatwasser | Combi oven 
| Badkamer met een ruime inloopdouche | Wastafel | Designradiator | Witgoedaansluitingen | Tegelvloer
| Toiletruimte design uitstraling | Toilet en Wandurinoir | Wasmeubel | Tegelvloer
| 1e Slaapkamer op de 2e verdieping | Laminaatvloer | Panorama uitzicht
| Trappenhuis met houten rustieke trappen
| 2e en 3e Slaapkamer op de 3e verdieping | Laminaatvloer 
| Ruim dakterras met panorama uitzicht | Balustrade dakterras nieuw | Maximale privacy
| Berging | Stalling gelegen op de begane grond 
Er is voldoende parkeergelegenheid voor de deur middels parkeervergunningen voor bewoners. Alle voorzieningen en faciliteiten zijn op loopafstand gelegen. De uitvalswegen A2 en A79 zijn op 5 autominuten afstand te bereiken. 
De Geulstad is omringd door een prachtig natuurgebied met veel wandel- en fietsmogelijkheden. 
Aansprakelijkheid: SAMEN uw Makelaar heeft met de meeste zorg de informatie samengesteld doch kan ten aanzien van de juistheid van deze gegevens geen aansprakelijkheid aanvaarden. Aan deze informatie, noch aan vermelde afmetingen, kunnen geen rechten worden ontleend.","€ 25,-",-,-,-,-,Samen uw Makelaar,-,-,-,-,-,-,6 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
828,"Coenensparkstraat 5, 7202 AN Zutphen",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 12,50",Per datum 01-05-2021,19,Eggink Maalderink Garantiemakelaars,Lokenstraat 6 -8,7201 MP  Zutphen,0575-514124,zutphen@egginkmaalderink.nl,78 m²,-,264 m³,3 kamers (2 slaapkamers),1,"Douche, Vloerverwarming, Wastafel",1 woonlaag,"Mechanische ventilatie, lift en zonnecollectoren",C.V.-Ketel en vloerverwarming geheel,C.V.-Ketel,"CW4 (Gas gestookt combiketel uit 2020, eigendom)",uitstekend,uitstekend,Appartement,Portiekflat,nieuwbouw,2021,Aan water en in centrum,Geen tuin,Inpandig,Parkeerkelder en parkeerplaats,"Op een uitstekende locatie aan de rand van het centrum van Zutphen gelegen appartement met alle voorzieningen, waaronder het NS-station en de prachtige binnenstad, op loopafstand. Het appartement ligt op de begane grond van een nieuwbouwcomplex dat is gelegen aan de nieuwe jachthaven in de wijk Noorderhaven.
Indeling:
Gezamenlijke portiek met brievenbussen en videofooninstallatie.
Appartement:
Ruime hal met toegang tot de woonkamer, twee slaapkamers, badkamer, toilet met fonteintje en een technische ruimte met de cv-opstelling en wasmachine-/drogeraansluiting. De woonkamer met open keuken heeft een oppervlakte van ca. 42 m² en biedt toegang tot het terras. De nette keukenopstelling is voorzien van diverse inbouwapparatuur, waaronder een koelkast met vriesvak, inductiekookplaat, afzuigkap, combioven en vaatwasser. De twee slaapkamers hebben een oppervlakte van 11 m² en 7,5 m² en beiden toegang tot het terras. De geheel betegelde badkamer beschikt over een wastafel, inloopdouche en wandradiator.
Bijzonderheden:
- Volledig voorzien van een pvc-vloer met vloerverwarming.
- Eigen berging in de onderbouw.
- Parkeerplaats met eigen laadpaal in de parkeergarage.
- Gezamenlijk gebruik van de binnentuin.
Kosten e.d.:
- Huurprijs: € 975,- per maand.
- Servicekosten: € 50,- per maand.
- Aanvaarding per 1 mei 2021.
- Minimale huurperiode: 24 maanden.
Eisen:
- U dient een bruto inkomen te hebben van minimaal 3,5x de maandhuur en dit aan te tonen.
- Het houden van huisdieren is niet toegestaan.
- Roken in het gehuurde is niet toegestaan.
- Door verhuurder wordt een waarborgsom van minimaal 1 maandhuur verlangd.","€ 50,-",-,-,"Betaald parkeren, parkeergarage en parkeervergunningen",-,-,A (einddatum: 08-11-2030),Volledig geïsoleerd,-,Voorzien van elektra,-,-,8 m²,-,-,-,-,-,Balkon aanwezig,-,-,-,-,-,-,-,-,-,-,-
829,"Pollux 20, 2221 MG Katwijk",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 19,50",Per datum 01-05-2021,23,-,Heerenweg 6 A 1,2222 AM  Katwijk,071-4017695,info@tamelingverhuur.nl,50 m²,-,135 m³,2 kamers (1 slaapkamer),1,"Toilet, Douche, Wastafel",1 woonlaag,-,-,C.V.-Ketel,-,goed,goed,Appartement,Galerijflat,bestaande bouw,1983,Aan rustige weg en in woonwijk,Geen tuin,Inpandig,Geen garage,"Op fietsafstand van het centrum van Katwijk aan Zee en loopafstand van winkelvoorzieningen vindt u dit comfortabele volledig gemeubileerde 2-kamerappartement. Het appartement is keurig onderhouden evenals het kleinschalige appartementencomplex.
Indeling
Entree op 1e verdieping, smalle gang die toegang biedt tot alle vertrekken, woonkamer voorzien van laminaat vloer. Halfopen keuken voorzien van 4-pitsgasfornuis, oven/combimagnetron en koelkast. Slaapkamer met voldoende kastruimte, badkamer voorzien van douche, wastafel toilet en was/droogcombinatie. Separate ruimte met CV-opstelling.
Bijzonderheden
- Woonoppervlakte 50 m2 
- Dubbel glas
- aparte (fiets)berging op begane grond
- huur is excl. g/w/e en Internet
- woning is rook en huisdiervrij
- huurperiode min 12 maanden",-,Tameling Verhuur B.V.,1981-1990,Openbaar parkeren,-,-,-,Dubbel glas,-,Voorzien van elektra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
830,"Generaal Joubertstraat 17 B, 2021 XA Haarlem",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 16,53",Per datum 01-05-2021,5,-,Schipholweg 1,2034 LS  Haarlem,023 5768980,info@centraalmakelaardij.nl,59 m²,-,180 m³,2 kamers (1 slaapkamer),1,"Toilet, Douche, Wastafel, Ligbad",1 woonlaag,-,-,-,-,goed tot uitstekend,goed tot uitstekend,Appartement,Bovenwoning,bestaande bouw,1906,-,Geen tuin,-,Geen garage,"ENGLISH BELOW
Appartement op de tweede verdieping met 1 slaapkamer. Op steenworp afstand van de gezellige winkelstraat Generaal Cronjé en het STATION bevindt zich op maximaal 5 minuten loopafstand. 
 
Omgeving: 
De Generaal Joubertstraat ligt om de hoek van winkelstraat de Cronjé. Hier vind je onder andere winkels voor dagelijkse boodschappen maar ook eet- en koffietentjes. Naar het NS-station en de binnenstad kun je lopend af. De duinen en het strand van Bloemendaal en Zandvoort is met de fiets bereikbaar. De stad uit? Uitvalswegen richting Amsterdam, Den Haag en Utrecht zijn nabij.
Indeling:
Op de eerste verdieping gelegen kan via een eigen entree het huis worden betreden door middel van een tweede trap. Boven aangekomen ligt de woonkamer met open keuken, slaapkamer en badkamer. Bovenin het appartement bevindt zich een vliering waarin spullen kunnen worden opgeslagen. 
Opleveringsniveau:
Gestoffeerd. 
Bijzonderheden: 
Douche bevindt zich in ligbad, ruime vliering waar veel spullen kunnen worden opgeslagen.  
Minimale voorwaarden:
Inkomen per maand circa: €2.925 gezamenlijk inkomen Bruto 
Maximaal aantal personen: 2
Huisdieren: in overleg 
Roken: niet toegestaan 
Handig om te weten: 
Ingangsdatum huurcontract: 1 mei 2021 
Contractduur: bepaalde tijd 12 maanden 
Voorschotten p/m: € 100,- voorschot gas/water/elektriciteit 
Waarborgsom: 1 maand bruto huur
Wilt u een bezichtiging?
Stuur een e-mail naar info@centraalmakelaardij.nl, en benoem het betreffende adres in het onderwerp. Wij zullen ons best doen alle aanvragen zo snel mogelijk te behandelen.
_______________________________________________________________________________
Second floor apartment with 1 bedroom. Few minutes walking distance from the pleasant shopping street Generaal Cronjé and the STATION is a maximum of 5 minutes walking. 
 
Surroundings:
The Generaal Joubertstraat is around the corner from the Cronjé shopping street. Here you will find shops for daily groceries, but also food and coffee shops. You can walk to the railway station and the city center. The dunes and beach of Bloemendaal and Zandvoort can be reached by bicycle. Out of town? Roads to Amsterdam, The Hague and Utrecht are nearby.
Layout:
Located on the first floor, the house can be entered through a private entrance by means of a second staircase. Arrived upstairs is the living room with open kitchen, bedroom and bathroom. At the top of the apartment is an attic where things can be stored.
Delivery level:
Upholstered.
Particularities:
Shower is located in bath, spacious loft where many things can be stored.
Minimum conditions:
Income per month approximately: € 2,925 joint income Gross
Maximum number of people: 2
Pets: in consultation
Smoking: not allowed
Nice to know:
Rental contract commencing date: May 1st, 2021
Contract duration: fixed term 12 months
Advances p / m: € 100, - advance gas / water / electricity
Deposit: 1 month gross rent
Would you like a viewing?
Send an e-mail to info@centraalmakelaardij.nl, and state the relevant address in the subject. We will do our best to process all inquiries as quickly as possible.","€ 100,-",-,-,-,-,Centraal Makelaardij Haarlem B.V.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
831,"Schoutenstraat 2, 1811 HD Alkmaar",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 18,75",Per datum 01-04-2020,16,-,Kanaalkade 16,1811 LP  Alkmaar,072-5208259,info@072wonen.nl,52 m²,-,206 m³,1 kamer,1,"Toilet, Douche, Wastafel",1 woonlaag,-,-,-,-,redelijk,redelijk,Appartement,Portiekflat,bestaande bouw,1510,In centrum,Achtertuin,-,Geen garage,"Let op: je kunt alleen reageren via ons aanvraagformulier, zie onderstaande tekst voor de procedure!
TE HUUR IN HARTJE CENTRUM ALKMAAR LUXE APPARTEMENT IN RIJKSMONUMENT!
Het Huis van Zessen, gesticht in 1510, is Alkmaars oudste nog bestaande hofje. Het was bestemd voor zes oude katholieke mannen. Als laatste bestemming maakte het pand deel uit van het stadhuiscomplex.
De voorgevel werd in de 19de eeuw in neoclassicistische stijl verbouwd. Uit die tijd stammen de grote empire vensters en de blokbepleistering. Binnen zijn enkele vertrekken in neorenaissance stijl: de grote zaal (1910) en de regentenkamer (1922).
Het hofje, een rijksmonument, is gelegen in het centrum van Alkmaar in de Schoutenstraat tussen de Langestraat en de Laat. 
Het pand is van binnen en buiten recent gerenoveerd tot een uniek pand met acht appartementen. Een aantal daarvan zullen de monumentale status behouden.
Het gaat in dit geval om het appartement op de begane grond, een van de zogenaamde stijlkamers: 'De Gele Kamer'. Daarbij zijn er ook binnen nog veel authentieke details aanwezig aan de wanden en het plafond. Het is een grote en hoge ruimte van ruim 51 m2 met in het midden een ruimte gecreëerd voor de badkamer en de keuken. Deze is voorzien van inbouwapparatuur: koelkast, vaatwasser, keramische kookplaat met afzuiger en een combimagnetron. De badkamer is voorzien van wastafel, douche, toilet en wasmachineaansluiting. Aan de ander kant van de keuken- badkameropstelling is een slaaphoek gecreerd. Dit appartement heeft een eigen terras aan de achterzijde.
Parkeren gaat via een vergunning bij de gemeente. Achter het complex is een gezamenlijke fietsenberging.
Bijzonderheden:
- Beschikbaar voor een huurperiode van minimaal twaalf maanden, daarna onbepaalde tijd;
- De huurprijs is exclusief 125,- euro servicekosten p/m (betreft vergoeding voorschot gebruik gas/water/elektra, tv en internet);
- De waarborgsom is gelijk aan één maand huur;
- Het appartement is niet geschikt voor kinderen en huisdieren;
- Niet roken binnenshuis.
Wonen in het oudste nog bestaande hofje van Alkmaar midden in het centrum? Reageer dan snel via ons aanvraagformulier!
Procedure: U kunt zich inschrijven via ons aanvraagformulier, wat u vindt onder 'brochures' op deze pagina en op onze website. Het ingevulde aanvraagformulier kunt u mailen naar info@072wonen.nl of langsbrengen op ons kantoor aan de Kanaalkade 16 in Alkmaar. Wij beoordelen dan of u in aanmerking komt, daarna volgt een uitnodiging voor een bezichtiging of een afwijzing.","€ 125,-",072wonen,-1906,-,-,-,-,-,6 m²,-,-,-,-,6 m² (1.5m diep / 4.0m breed),Ja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
832,"Regelhaalder 110, 1749 KK Warmenhuizen",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 10,26",In overleg,29,Van de Ridder Makelaars o.g.,Marktplein 77 a,1721 CK  Broek Op Langedijk,0226-315341,langedijk@riddermakelaars.nl,95 m²,-,300 m³,4 kamers (3 slaapkamers),1,"Dubbele wastafel, Toilet, Douche",1 woonlaag,"Mechanische ventilatie, tv kabel en lift",C.V.-Ketel,C.V.-Ketel,"HR (Gas gestookt combiketel uit 2017, eigendom)",goed,goed,Appartement,Bovenwoning,bestaande bouw,2001,In woonwijk,Geen tuin,-,Vrijstaand steen (6.0 m diep en 3.0 m breed),"Per 1 mei 2021 zoeken wij een betrouwbare huurder voor dit ruime 4-KAMER HOEK APPARTEMENT met GARAGE. Het appartement is gelegen op de tweede verdieping en heeft een fraaie hoekligging met prachtig uitzicht. Hier kunt u heerlijk onbezorgd en veilig wonen. Een royaal appartement met eigen garage.
Indeling appartement 2e verdieping: entree, lange hal met toegang tot de 3 slaapkamers, ruime badkamer, separaat toilet en toegang tot de woonkamer. De woonkamer is voorzien van complete keuken met inbouwapparatuur en verder een inpandig balkon en een inpandige berging met wasmachine. Buiten bij het appartementencomplex is een gezamenlijke inpandige fietsenstalling en bij dit appartement behoort een eigen garage.
Het appartement wordt gestoffeerd (gordijnen en vloerafwerkingen aanwezig) en bij voorkeur deels gemeubileerd verhuurd (wasmachine, tv kast, eettafel, staande kast, zitje inpandig balkon, twee inbouw kledingkasten en een vrijstaande kledingkast in de slaapkamers. De waarborgsom die gevraagd wordt is € 2.000,=.
Procedure: u dient een ingevuld aanvraagformulier aan te leveren, te downloaden via Funda onder ""brochure"".
Huurprijs is € 975,= per maand, exclusief gas, water en elektra.",-,-,-,Openbaar parkeren,-,-,B (einddatum: 31-05-2027),"Dakisolatie, muurisolatie, vloerisolatie en dubbel glas",-,-,-,-,-,-,-,-,-,-,-,-,5 m²,1,Voorzien van elektra en met elektrische deur,-,-,-,-,-,-,-
833,"Waal 31, 7908 HS Hoogeveen",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 11,61",In overleg,29,Hentenaar Makelaardij o.z. B.V.,Alteveerstraat 2,7907 AA  Hoogeveen,0528-277001,hoogeveen@hentenaarmakelaardij.nl,84 m²,6 m²,280 m³,3 kamers (2 slaapkamers),1,"Toilet, Douche, Wastafel",1 woonlaag,Mechanische ventilatie en tv kabel,-,-,-,goed,goed,Appartement,Portiekflat,bestaande bouw,2006,"Aan water, in woonwijk en vrij uitzicht",Geen tuin,Inpandig,Parkeerplaats,"Met een schitterend vrij uitzicht richting de Hoogeveensche Vaart en Erflanden, gelegen op het zuiden, fraai en actueel uitgevoerde 3-kamer APPARTEMENT met eigen parkeerplaats en een eigen inpandige berging op de begane grond.
De mooie ligging en de uitvoering van het totaal geven u een heerlijk wooncomfort. Winkelcentrum de Weide ligt op korte afstand.
INDELING: Entree met toiletruimte; zonnige woonkamer, gesitueerd richting Hoogeveensche Vaart en aansluitend het royale balkon van ca. 10m² groot. De half open open keuken is v.v. 4-pitsgaskookplaat en afzuigkap. Vanaf de entree zijn bereikbaar de bijkeuken/berging, de 2 slaapkamers van resp. 15m² en 9m² groot en de nette, badkamer, welke is uitgevoerd met douche, toilet en wastafel.
BIJZONDERHEDEN: 
- Bouwjaar 2006
- Volledig geïsoleerd/dubbel glas
- Voorzien van liftinstallatie en videofooninstallatie
- Huur e.d. jaarlijks te indexeren
- Servicekosten €32,35
- De maten en plattegrond (m² en m³) zijn indicatief (van een vergelijkbaar appartement)
Kortom: een mooi en comfortabel, werkelijk schitterend gelegen, verzorgd en actueel uitgevoerd 3- kamer appartement!!","€ 32,35",-,-,Op eigen terrein,-,-,-,Volledig geïsoleerd,-,-,-,-,-,-,-,-,-,-,Balkon aanwezig,-,10 m²,-,-,-,-,1,-,-,-,-
834,"Brusselseweg 810, 6219 NP Maastricht",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 13,93",Per datum 15-05-2021,15,-,Stationstraat 30,6361 BH  Nuth,043 8521587,info@woonhuislimburg.nl,70 m²,5 m²,250 m³,3 kamers (2 slaapkamers),1,"Wastafelmeubel, Douche, Vloerverwarming",1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,uitstekend,uitstekend,Appartement,Benedenwoning,bestaande bouw,2021,-,Geen tuin,-,Geen garage,"LET OP: DEZE APPARTEMENTEN ZIJN IN BELGIE GELEGEN EN ZIJN NIET GESCHIKT VOOR STUDENTEN.
Te huur 2 tal luxe uiterst energiezuinige instapklare NIEUWBOUW appartementen met 2 slaapkamers en tuin gelegen aan de Maaseikersteenweg in Smeermaas (Lanaken) op 400 meter afstand van de Nederlandse grens met Maastricht.
Het betreffen een 2 tal gelijkvloers appartementen met tuin in een klein complex van 4 wooneenheden. Aan de achterzijde van het complex zijn er voor ieder appartement een 2 tal privé parkeerplaatsen beschikbaar op een afgesloten terrein. Naast het complex worden nog externe bergingen gerealiseerd.
Bijgevoegde foto's betreffen de foto's van appartement 1 en appartement 2 welke beide op de begane grond zijn gelegen. 
Indeling appartement 
Begane grond:
Beide appartementen zijn voorzien van een moderne laminaatvloer. Bij binnenkomst in de appartementen vanuit de hal toegang tot de separaat gelegen toilet, garderobe, de moderne badkamer welke is voorzien van modern wastafel meubel, inloopdouche, toilet en design radiator en toegang tot beide slaapkamers (respectievelijk 12,5m2 en 9,5m2) . Vanuit de hal is via een glazen deur de woonkamer met open keuken te bereiken. De moderne open keuken is voorzien van vier pits kookplaat, afzuigkap ,oven, vaatwasser en inbouwkoelkast met vriesvak. 
Naast de keuken is er nog een aparte berging met de aansluiting voor de wasmachine.
De ruime lichte woonkamer is aan de achterzijde gesitueerd. Vanuit de woonkamer eveneens middels een grote schuifpui toegang tot de tuin met terras ( ca 22 m2) met elektra punt en buitenkraan.
Bijzonderheden:
- Beschikbaar per medio mei
- Hoog afwerkingsniveau
- Uiterst energiezuinig
- Voorzien van vloerverwarming
- Voorzien van zonnepanelen
- Waarborgsom gelijk aan 2 x de maandhuur
Huurprijzen incl. servicekosten en excl GWE:
Appartement 1 (c.a. 70m2) € 975,-","€ 25,-",-,2011-2020,Op afgesloten terrein,-,Woonhuis Limburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
835,"De Grote Pekken 600, 3901 JV Veenendaal",In verhuur genomen,"€ 975,- p.m.","€ 975,-","€ 11,21",In overleg,23,Diepeveen Makelaars B.V.,Brouwersgracht 2,3901 TJ  Veenendaal,0318-519011,info@diepeveenmakelaars.nl,87 m²,-,280 m³,4 kamers (3 slaapkamers),1,"Wastafelmeubel, Wasmachineaansluiting, Douche, Wastafel",1 woonlaag,"Mechanische ventilatie, tv kabel, buitenzonwering, lift, glasvezel kabel en natuurlijke ventilatie",Blokverwarming,Elektrische boiler eigendom,-,goed,goed,Appartement,Galerijflat,bestaande bouw,1968,"Aan water, aan rustige weg, in woonwijk en vrij uitzicht",Zonneterras,Inpandig,Geen garage,"Licht en zonnig appartement te huur met prachtig weids uitzicht en op korte afstand van het centrum! 
Dit ruime 4-kamerappertement (87 m²) met berging is gelegen op de tweede verdieping en heeft een schitterend vrij uitzicht over de vijver. Het appartement beschikt over een royale, lichte woonkamer, die toegang geeft tot een ruime slaapkamer met twee vaste kasten. Het balkon ligt op het zuiden en biedt hetzelfde prettige uitzicht over de vijver. De hal leidt naar de dichte keuken, de twee overige slaapkamers en de moderne badkamer met inloopdouche. De witgoedaansluitingen zijn tevens in de badkamer te vinden. 
Aanvullende informatie:
- Huurprijs: € 975,- per maand (incl. servicekosten);
- Voorschot stookkosten: € 60,- per maand;
- Per direct beschikbaar;
- Te huur voor minimaal één jaar met de mogelijkheid tot verlenging;
- Inkomenseis: min. 3 keer de huurprijs bruto per maand.",-,-,-,Openbaar parkeren,-,-,E (einddatum: 23-12-2030),Grotendeels dubbelglas,-,-,-,-,6 m²,-,-,Normaal,"Periodieke bijdrage, Vergadering VvE, Onderhoudsplan, Opstalverzekering, Inschrijving KvK, Reservefonds",-,Balkon aanwezig,-,10 m²,-,-,6 m² (1.4m diep / 4.3m breed),-,-,-,-,-,-
836,"Omegaplantsoen 151, 2321 KT Leiden",Direct verhuurd,"€ 975,- p.m.","€ 975,-","€ 19,90",In overleg,26,vb&t Verhuurmakelaars,Vestdijk 180,5611 CZ  Eindhoven,+31885454600,info@vbtverhuurmakelaars.nl,49 m²,-,147 m³,1 kamer,1,"Inloopdouche, Toilet, Wastafel",1 woonlaag,Mechanische ventilatie en lift,Elektrische verwarming en warmtepomp,-,-,uitstekend,uitstekend,Appartement,Portiekflat,nieuwbouw,2020,-,Geen tuin,-,Geen garage,"In gebouw Callisto geniet je van het uitzicht. Callisto beslaat namelijk grotendeels de hoogste verdiepingen zodat je kunt genieten van het uitzicht over de groene binnentuin of de moderne architectuur van de Yours Campus Je woont hier vrij en overzichtelijk en op fietsafstand van het historisch centrum van Leiden. 
Omegaplantsoen 73
Alles bij de hand en op de juiste plek? Dan is deze slim ingedeelde studio van 49 m² iets voor jou. Zodra je binnenkomt kun je genieten van je mooie keuken. Met witte kasten en een zwart composiet werkblad is deze Bribus Keuken stijlvol en met een paar accessoires maak je hem helemaal yours. In de keuken word je tijdens het koken bijgestaan door kwalitatieve ATAG apparatuur: een inductiekookplaat, afzuigkap, vaatwasser, oven met geïntegreerde magnetron en koel- / vriescombinatie. Aan een plekje voor de wasmachine is ook gedacht, die kan naast je keukenblok worden geplaatst. Je woonkamer is lekker licht, en wordt door een gedeeltelijke wand in twee delen gesplitst. Hierdoor kun je met een gordijn of kamerscherm eenvoudig twee aparte ruimtes creëren. Wat dacht je van een comfortabele slaapkamer? Of misschien kies je juist voor een woonkamer met een slaapbank en een apart thuiskantoor? De keuze is aan jou. In elk geval begint jouw dag in Yours goed, met een verfrissende douche in de badkamer. Deze is afgewerkt met zwarte vloertegels en hoogglans witte wandtegels tot aan het plafond. Lekker zen. Naast een douche heb je hier ook een wastafel met spiegel en een toilet. Alles wat je nodig hebt, in jouw compacte studio in Yours!
Duurzaamheid
De woningen zijn all-electric, heel goed geïsoleerd en op de daken liggen zonnepanelen die stroom opwekken ten behoeve van de algemene ruimtes. Dat scheelt weer in de servicekosten. Daarmee is je appartement helemaal klaar voor een duurzame toekomst.
Benieuwd naar de overige woningen in dit project of wil je je aanmelden? Kijk dan eens op Leidenisyours.nl","€ 35,-",-,-,-,-,-,-,Volledig geïsoleerd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
837,"Omegaplantsoen 153, 2321 KT Leiden",Direct verhuurd,"€ 975,- p.m.","€ 975,-","€ 19,90",In overleg,26,vb&t Verhuurmakelaars,Vestdijk 180,5611 CZ  Eindhoven,+31885454600,info@vbtverhuurmakelaars.nl,49 m²,-,147 m³,1 kamer,1,"Inloopdouche, Toilet, Wastafel",1 woonlaag,Mechanische ventilatie en lift,Elektrische verwarming en warmtepomp,-,-,uitstekend,uitstekend,Appartement,Portiekflat,nieuwbouw,2020,-,Geen tuin,-,Geen garage,"In gebouw Callisto geniet je van het uitzicht. Callisto beslaat namelijk grotendeels de hoogste verdiepingen zodat je kunt genieten van het uitzicht over de groene binnentuin of de moderne architectuur van de Yours Campus Je woont hier vrij en overzichtelijk en op fietsafstand van het historisch centrum van Leiden. 
Omegaplantsoen 73
Alles bij de hand en op de juiste plek? Dan is deze slim ingedeelde studio van 49 m² iets voor jou. Zodra je binnenkomt kun je genieten van je mooie keuken. Met witte kasten en een zwart composiet werkblad is deze Bribus Keuken stijlvol en met een paar accessoires maak je hem helemaal yours. In de keuken word je tijdens het koken bijgestaan door kwalitatieve ATAG apparatuur: een inductiekookplaat, afzuigkap, vaatwasser, oven met geïntegreerde magnetron en koel- / vriescombinatie. Aan een plekje voor de wasmachine is ook gedacht, die kan naast je keukenblok worden geplaatst. Je woonkamer is lekker licht, en wordt door een gedeeltelijke wand in twee delen gesplitst. Hierdoor kun je met een gordijn of kamerscherm eenvoudig twee aparte ruimtes creëren. Wat dacht je van een comfortabele slaapkamer? Of misschien kies je juist voor een woonkamer met een slaapbank en een apart thuiskantoor? De keuze is aan jou. In elk geval begint jouw dag in Yours goed, met een verfrissende douche in de badkamer. Deze is afgewerkt met zwarte vloertegels en hoogglans witte wandtegels tot aan het plafond. Lekker zen. Naast een douche heb je hier ook een wastafel met spiegel en een toilet. Alles wat je nodig hebt, in jouw compacte studio in Yours!
Duurzaamheid
De woningen zijn all-electric, heel goed geïsoleerd en op de daken liggen zonnepanelen die stroom opwekken ten behoeve van de algemene ruimtes. Dat scheelt weer in de servicekosten. Daarmee is je appartement helemaal klaar voor een duurzame toekomst.
Benieuwd naar de overige woningen in dit project of wil je je aanmelden? Kijk dan eens op Leidenisyours.nl","€ 35,-",-,-,-,-,-,-,Volledig geïsoleerd,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
